hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K9me3	ENSG00000163364	ASO_G0163364_06	down	minus	21	105	0	21	46	124178
H3K9me3	ENSG00000163364	ASO_G0163364_06	down	plus	21	46	0	21	46	124178
H3K9me3	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	105	0	853	46	123346
H3K9me3	ENSG00000163364	ASO_G0163364_AD_01	up	plus	853	46	0	853	46	123346
H3K9me3	ENSG00000163364	ASO_G0163364_AD_01	down	plus	383	46	0	383	46	123816
H3K9me3	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	105	0	383	46	123816
H3K9me3	ENSG00000204054	ASO_G0204054_01	down	minus	2	28	0	2	28	124215
H3K9me3	ENSG00000204054	ASO_G0204054_01	down	plus	2	5	0	2	28	124215
H3K9me3	ENSG00000204054	ASO_G0204054_06	up	plus	320	5	0	320	28	123897
H3K9me3	ENSG00000204054	ASO_G0204054_06	up	minus	320	28	0	320	28	123897
H3K9me3	ENSG00000204054	ASO_G0204054_06	down	minus	334	28	1	333	27	123884
H3K9me3	ENSG00000204054	ASO_G0204054_06	down	plus	334	5	1	333	27	123884
H3K9me3	ENSG00000204054	ASO_G0204054_10	down	plus	1	5	0	1	28	124216
H3K9me3	ENSG00000204054	ASO_G0204054_10	down	minus	1	28	0	1	28	124216
H3K9me3	ENSG00000212978	ASO_G0212978_01	up	minus	4	2	0	4	2	124239
H3K9me3	ENSG00000212978	ASO_G0212978_01	down	plus	24	2	0	24	2	124219
H3K9me3	ENSG00000212978	ASO_G0212978_01	up	plus	4	2	0	4	2	124239
H3K9me3	ENSG00000212978	ASO_G0212978_01	down	minus	24	2	0	24	2	124219
H3K9me3	ENSG00000212978	ASO_G0212978_02	down	minus	41	2	0	41	2	124202
H3K9me3	ENSG00000212978	ASO_G0212978_02	up	minus	26	2	0	26	2	124217
H3K9me3	ENSG00000212978	ASO_G0212978_02	up	plus	26	2	0	26	2	124217
H3K9me3	ENSG00000212978	ASO_G0212978_02	down	plus	41	2	0	41	2	124202
H3K9me3	ENSG00000212978	ASO_G0212978_03	up	minus	196	2	0	196	2	124047
H3K9me3	ENSG00000212978	ASO_G0212978_03	down	minus	324	2	0	324	2	123919
H3K9me3	ENSG00000212978	ASO_G0212978_03	up	plus	196	2	0	196	2	124047
H3K9me3	ENSG00000212978	ASO_G0212978_03	down	plus	324	2	0	324	2	123919
H3K9me3	ENSG00000214548	ASO_G0214548_01	up	plus	744	705	11	733	436	123065
H3K9me3	ENSG00000214548	ASO_G0214548_01	down	plus	315	705	3	312	444	123486
H3K9me3	ENSG00000214548	ASO_G0214548_01	down	minus	315	447	3	312	444	123486
H3K9me3	ENSG00000214548	ASO_G0214548_01	up	minus	744	447	11	733	436	123065
H3K9me3	ENSG00000214548	ASO_G0214548_AD_09	down	minus	536	447	4	532	443	123266
H3K9me3	ENSG00000214548	ASO_G0214548_AD_09	down	plus	536	705	4	532	443	123266
H3K9me3	ENSG00000214548	ASO_G0214548_AD_09	up	minus	676	447	17	659	430	123139
H3K9me3	ENSG00000214548	ASO_G0214548_AD_09	up	plus	676	705	17	659	430	123139
H3K9me3	ENSG00000223478	ASO_G0223478_03	down	minus	175	965	0	175	203	123867
H3K9me3	ENSG00000223478	ASO_G0223478_03	up	minus	23	965	0	23	203	124019
H3K9me3	ENSG00000223478	ASO_G0223478_03	down	plus	175	203	0	175	203	123867
H3K9me3	ENSG00000223478	ASO_G0223478_03	up	plus	23	203	0	23	203	124019
H3K9me3	ENSG00000223485	ASO_G0223485_01	down	plus	1304	1	1	1303	0	122941
H3K9me3	ENSG00000223485	ASO_G0223485_01	up	plus	1435	1	0	1435	1	122809
H3K9me3	ENSG00000223485	ASO_G0223485_AD_04	down	plus	2023	1	0	2023	1	122221
H3K9me3	ENSG00000223485	ASO_G0223485_AD_04	up	plus	815	1	0	815	1	123429
H3K9me3	ENSG00000223485	ASO_G0223485_AD_06	up	plus	28	1	0	28	1	124216
H3K9me3	ENSG00000223485	ASO_G0223485_AD_06	down	plus	5	1	0	5	1	124239
H3K9me3	ENSG00000223960	ASO_G0223960_08	down	plus	51	3	0	51	3	124191
H3K9me3	ENSG00000223960	ASO_G0223960_08	up	plus	75	3	0	75	3	124167
H3K9me3	ENSG00000223960	ASO_G0223960_AD_10	down	plus	1	3	0	1	3	124241
H3K9me3	ENSG00000225470	ASO_G0225470_05	down	minus	1	265	0	1	265	123979
H3K9me3	ENSG00000225470	ASO_G0225470_05	down	plus	1	952	0	1	265	123979
H3K9me3	ENSG00000225470	ASO_G0225470_AD_04	down	minus	3	265	0	3	265	123977
H3K9me3	ENSG00000225470	ASO_G0225470_AD_04	down	plus	3	952	0	3	265	123977
H3K9me3	ENSG00000227053	ASO_G0227053_03	up	minus	653	10134	97	556	10037	113555
H3K9me3	ENSG00000227053	ASO_G0227053_03	down	plus	1175	8145	360	815	9774	113296
H3K9me3	ENSG00000227053	ASO_G0227053_03	down	minus	1175	10134	360	815	9774	113296
H3K9me3	ENSG00000227053	ASO_G0227053_03	up	plus	653	8145	97	556	10037	113555
H3K9me3	ENSG00000227053	ASO_G0227053_04	down	minus	312	10134	112	200	10022	113911
H3K9me3	ENSG00000227053	ASO_G0227053_04	up	minus	135	10134	20	115	10114	113996
H3K9me3	ENSG00000227053	ASO_G0227053_04	down	plus	312	8145	112	200	10022	113911
H3K9me3	ENSG00000227053	ASO_G0227053_04	up	plus	135	8145	20	115	10114	113996
H3K9me3	ENSG00000227811	ASO_G0227811_06	down	minus	66	2884	8	58	2876	121303
H3K9me3	ENSG00000227811	ASO_G0227811_06	up	minus	19	2884	0	19	2884	121342
H3K9me3	ENSG00000227811	ASO_G0227811_06	down	plus	66	404	8	58	2876	121303
H3K9me3	ENSG00000227811	ASO_G0227811_06	up	plus	19	404	0	19	2884	121342
H3K9me3	ENSG00000229647	ASO_G0229647_06	up	minus	6	4	0	6	4	124235
H3K9me3	ENSG00000229647	ASO_G0229647_06	down	minus	56	4	0	56	4	124185
H3K9me3	ENSG00000229647	ASO_G0229647_AD_09	down	minus	2	4	0	2	4	124239
H3K9me3	ENSG00000229847	ASO_G0229847_01	up	minus	12	34	0	12	94	124139
H3K9me3	ENSG00000229847	ASO_G0229847_01	down	plus	23	94	0	23	94	124128
H3K9me3	ENSG00000229847	ASO_G0229847_01	up	plus	12	94	0	12	94	124139
H3K9me3	ENSG00000229847	ASO_G0229847_01	down	minus	23	34	0	23	94	124128
H3K9me3	ENSG00000229847	ASO_G0229847_03	up	minus	27	34	0	27	94	124124
H3K9me3	ENSG00000229847	ASO_G0229847_03	up	plus	27	94	0	27	94	124124
H3K9me3	ENSG00000229847	ASO_G0229847_03	down	minus	31	34	0	31	94	124120
H3K9me3	ENSG00000229847	ASO_G0229847_03	down	plus	31	94	0	31	94	124120
H3K9me3	ENSG00000229847	ASO_G0229847_AD_02	down	plus	1151	94	1	1150	93	123001
H3K9me3	ENSG00000229847	ASO_G0229847_AD_02	up	plus	8	94	0	8	94	124143
H3K9me3	ENSG00000229847	ASO_G0229847_AD_02	up	minus	8	34	0	8	94	124143
H3K9me3	ENSG00000229847	ASO_G0229847_AD_02	down	minus	1151	34	1	1150	93	123001
H3K9me3	ENSG00000229847	ASO_G0229847_AD_04	up	plus	970	94	3	967	91	123184
H3K9me3	ENSG00000229847	ASO_G0229847_AD_04	down	minus	1733	34	0	1733	94	122418
H3K9me3	ENSG00000229847	ASO_G0229847_AD_04	down	plus	1733	94	0	1733	94	122418
H3K9me3	ENSG00000229847	ASO_G0229847_AD_04	up	minus	970	34	3	967	91	123184
H3K9me3	ENSG00000230074	ASO_G0230074_05	up	minus	1090	2	0	1090	2	123153
H3K9me3	ENSG00000230074	ASO_G0230074_05	up	plus	1090	4	0	1090	2	123153
H3K9me3	ENSG00000230074	ASO_G0230074_05	down	minus	1276	2	0	1276	2	122967
H3K9me3	ENSG00000230074	ASO_G0230074_05	down	plus	1276	4	0	1276	2	122967
H3K9me3	ENSG00000230074	ASO_G0230074_07	up	plus	57	4	0	57	2	124186
H3K9me3	ENSG00000230074	ASO_G0230074_07	down	minus	198	2	0	198	2	124045
H3K9me3	ENSG00000230074	ASO_G0230074_07	up	minus	57	2	0	57	2	124186
H3K9me3	ENSG00000230074	ASO_G0230074_07	down	plus	198	4	0	198	2	124045
H3K9me3	ENSG00000230417	ASO_G0230417_01	up	minus	146	1	0	146	1	124098
H3K9me3	ENSG00000230417	ASO_G0230417_01	down	plus	255	1	0	255	1	123989
H3K9me3	ENSG00000230417	ASO_G0230417_01	up	plus	146	1	0	146	1	124098
H3K9me3	ENSG00000230417	ASO_G0230417_01	down	minus	255	1	0	255	1	123989
H3K9me3	ENSG00000230417	ASO_G0230417_02	down	minus	2	1	0	2	1	124242
H3K9me3	ENSG00000230417	ASO_G0230417_02	down	plus	2	1	0	2	1	124242
H3K9me3	ENSG00000230417	ASO_G0230417_02	up	plus	1	1	0	1	1	124243
H3K9me3	ENSG00000230417	ASO_G0230417_02	up	minus	1	1	0	1	1	124243
H3K9me3	ENSG00000230630	ASO_G0230630_AD_04	down	plus	424	44	4	420	40	123781
H3K9me3	ENSG00000230630	ASO_G0230630_AD_04	up	plus	229	44	1	228	43	123973
H3K9me3	ENSG00000230630	ASO_G0230630_AD_04	down	minus	424	39	4	420	40	123781
H3K9me3	ENSG00000230630	ASO_G0230630_AD_04	up	minus	229	39	1	228	43	123973
H3K9me3	ENSG00000230844	ASO_G0230844_01	up	plus	326	3	0	326	4	123915
H3K9me3	ENSG00000230844	ASO_G0230844_01	up	minus	326	4	0	326	4	123915
H3K9me3	ENSG00000230844	ASO_G0230844_01	down	minus	553	4	0	553	4	123688
H3K9me3	ENSG00000230844	ASO_G0230844_01	down	plus	553	3	0	553	4	123688
H3K9me3	ENSG00000231185	ASO_G0231185_02	down	minus	383	241	0	383	34	123828
H3K9me3	ENSG00000231185	ASO_G0231185_02	down	plus	383	34	0	383	34	123828
H3K9me3	ENSG00000231185	ASO_G0231185_02	up	plus	177	34	0	177	34	124034
H3K9me3	ENSG00000231185	ASO_G0231185_02	up	minus	177	241	0	177	34	124034
H3K9me3	ENSG00000231185	ASO_G0231185_03	down	plus	522	34	0	522	34	123689
