hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K4me1	ENSG00000163364	ASO_G0163364_06	down	plus	21	4549	1	20	1408	122816
H3K4me1	ENSG00000163364	ASO_G0163364_06	down	minus	21	1409	1	20	1408	122816
H3K4me1	ENSG00000163364	ASO_G0163364_AD_01	down	plus	383	4549	20	363	1389	122473
H3K4me1	ENSG00000163364	ASO_G0163364_AD_01	up	plus	853	4549	14	839	1395	121997
H3K4me1	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	1409	20	363	1389	122473
H3K4me1	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	1409	14	839	1395	121997
H3K4me1	ENSG00000180769	ASO_G0180769_03	up	plus	1	2066	0	1	2066	122178
H3K4me1	ENSG00000180769	ASO_G0180769_03	up	minus	1	1585	0	1	2066	122178
H3K4me1	ENSG00000180769	ASO_G0180769_08	down	plus	6	2066	2	4	2064	122175
H3K4me1	ENSG00000180769	ASO_G0180769_08	down	minus	6	1585	2	4	2064	122175
H3K4me1	ENSG00000180769	ASO_G0180769_AD_03	up	minus	1	1585	0	1	2066	122178
H3K4me1	ENSG00000180769	ASO_G0180769_AD_03	down	plus	1	2066	0	1	2066	122178
H3K4me1	ENSG00000180769	ASO_G0180769_AD_03	up	plus	1	2066	0	1	2066	122178
H3K4me1	ENSG00000180769	ASO_G0180769_AD_03	down	minus	1	1585	0	1	2066	122178
H3K4me1	ENSG00000186615	ASO_G0186615_03	down	minus	2	2	0	2	2	124241
H3K4me1	ENSG00000186615	ASO_G0186615_04	up	minus	121	2	0	121	2	124122
H3K4me1	ENSG00000186615	ASO_G0186615_04	down	minus	150	2	0	150	2	124093
H3K4me1	ENSG00000204054	ASO_G0204054_01	down	plus	2	610	0	2	408	123835
H3K4me1	ENSG00000204054	ASO_G0204054_01	down	minus	2	408	0	2	408	123835
H3K4me1	ENSG00000204054	ASO_G0204054_06	up	minus	320	408	1	319	407	123518
H3K4me1	ENSG00000204054	ASO_G0204054_06	up	plus	320	610	1	319	407	123518
H3K4me1	ENSG00000204054	ASO_G0204054_06	down	plus	334	610	7	327	401	123510
H3K4me1	ENSG00000204054	ASO_G0204054_06	down	minus	334	408	7	327	401	123510
H3K4me1	ENSG00000204054	ASO_G0204054_10	down	plus	1	610	0	1	408	123836
H3K4me1	ENSG00000204054	ASO_G0204054_10	down	minus	1	408	0	1	408	123836
H3K4me1	ENSG00000205181	ASO_G0205181_01	up	minus	11	3503	1	10	3502	120732
H3K4me1	ENSG00000205181	ASO_G0205181_01	down	plus	65	4758	8	57	3495	120685
H3K4me1	ENSG00000205181	ASO_G0205181_01	up	plus	11	4758	1	10	3502	120732
H3K4me1	ENSG00000205181	ASO_G0205181_01	down	minus	65	3503	8	57	3495	120685
H3K4me1	ENSG00000212978	ASO_G0212978_01	down	minus	24	3922	3	21	3008	121213
H3K4me1	ENSG00000212978	ASO_G0212978_01	down	plus	24	3011	3	21	3008	121213
H3K4me1	ENSG00000212978	ASO_G0212978_01	up	plus	4	3011	0	4	3011	121230
H3K4me1	ENSG00000212978	ASO_G0212978_01	up	minus	4	3922	0	4	3011	121230
H3K4me1	ENSG00000212978	ASO_G0212978_02	down	minus	41	3922	6	35	3005	121199
H3K4me1	ENSG00000212978	ASO_G0212978_02	up	minus	26	3922	2	24	3009	121210
H3K4me1	ENSG00000212978	ASO_G0212978_02	down	plus	41	3011	6	35	3005	121199
H3K4me1	ENSG00000212978	ASO_G0212978_02	up	plus	26	3011	2	24	3009	121210
H3K4me1	ENSG00000212978	ASO_G0212978_03	up	minus	196	3922	4	192	3007	121042
H3K4me1	ENSG00000212978	ASO_G0212978_03	down	minus	324	3922	35	289	2976	120945
H3K4me1	ENSG00000212978	ASO_G0212978_03	up	plus	196	3011	4	192	3007	121042
H3K4me1	ENSG00000212978	ASO_G0212978_03	down	plus	324	3011	35	289	2976	120945
H3K4me1	ENSG00000214548	ASO_G0214548_01	up	plus	744	5856	66	678	5647	117854
H3K4me1	ENSG00000214548	ASO_G0214548_01	down	plus	315	5856	40	275	5673	118257
H3K4me1	ENSG00000214548	ASO_G0214548_01	down	minus	315	5715	40	275	5673	118257
H3K4me1	ENSG00000214548	ASO_G0214548_01	up	minus	744	5715	66	678	5647	117854
H3K4me1	ENSG00000214548	ASO_G0214548_AD_09	down	minus	536	5715	35	501	5678	118031
H3K4me1	ENSG00000214548	ASO_G0214548_AD_09	down	plus	536	5856	35	501	5678	118031
H3K4me1	ENSG00000214548	ASO_G0214548_AD_09	up	minus	676	5715	103	573	5610	117959
H3K4me1	ENSG00000214548	ASO_G0214548_AD_09	up	plus	676	5856	103	573	5610	117959
H3K4me1	ENSG00000221817	ASO_G0221817_04	down	minus	298	273	7	291	741	123206
H3K4me1	ENSG00000221817	ASO_G0221817_04	up	minus	77	273	1	76	747	123421
H3K4me1	ENSG00000221817	ASO_G0221817_04	up	plus	77	748	1	76	747	123421
H3K4me1	ENSG00000221817	ASO_G0221817_04	down	plus	298	748	7	291	741	123206
H3K4me1	ENSG00000221817	ASO_G0221817_AD_08	up	plus	4	748	0	4	748	123493
H3K4me1	ENSG00000221817	ASO_G0221817_AD_08	down	minus	6	273	1	5	747	123492
H3K4me1	ENSG00000221817	ASO_G0221817_AD_08	down	plus	6	748	1	5	747	123492
H3K4me1	ENSG00000221817	ASO_G0221817_AD_08	up	minus	4	273	0	4	748	123493
H3K4me1	ENSG00000223478	ASO_G0223478_03	down	plus	175	3395	15	160	4455	119615
H3K4me1	ENSG00000223478	ASO_G0223478_03	up	minus	23	4470	0	23	4470	119752
H3K4me1	ENSG00000223478	ASO_G0223478_03	up	plus	23	3395	0	23	4470	119752
H3K4me1	ENSG00000223478	ASO_G0223478_03	down	minus	175	4470	15	160	4455	119615
H3K4me1	ENSG00000223485	ASO_G0223485_01	down	minus	1304	1682	283	1021	3888	119053
H3K4me1	ENSG00000223485	ASO_G0223485_01	down	plus	1304	4171	283	1021	3888	119053
H3K4me1	ENSG00000223485	ASO_G0223485_01	up	plus	1435	4171	50	1385	4121	118689
H3K4me1	ENSG00000223485	ASO_G0223485_01	up	minus	1435	1682	50	1385	4121	118689
H3K4me1	ENSG00000223485	ASO_G0223485_AD_04	down	minus	2023	1682	226	1797	3945	118277
H3K4me1	ENSG00000223485	ASO_G0223485_AD_04	up	minus	815	1682	66	749	4105	119325
H3K4me1	ENSG00000223485	ASO_G0223485_AD_04	down	plus	2023	4171	226	1797	3945	118277
H3K4me1	ENSG00000223485	ASO_G0223485_AD_04	up	plus	815	4171	66	749	4105	119325
H3K4me1	ENSG00000223485	ASO_G0223485_AD_06	down	minus	5	1682	0	5	4171	120069
H3K4me1	ENSG00000223485	ASO_G0223485_AD_06	up	plus	28	4171	0	28	4171	120046
H3K4me1	ENSG00000223485	ASO_G0223485_AD_06	down	plus	5	4171	0	5	4171	120069
H3K4me1	ENSG00000223485	ASO_G0223485_AD_06	up	minus	28	1682	0	28	4171	120046
H3K4me1	ENSG00000225733	ASO_G0225733_03	down	minus	13	170	0	13	170	124062
H3K4me1	ENSG00000225733	ASO_G0225733_03	down	plus	13	196	0	13	170	124062
H3K4me1	ENSG00000225733	ASO_G0225733_04	up	plus	106	196	1	105	169	123970
H3K4me1	ENSG00000225733	ASO_G0225733_04	up	minus	106	170	1	105	169	123970
H3K4me1	ENSG00000225733	ASO_G0225733_04	down	minus	128	170	0	128	170	123947
H3K4me1	ENSG00000225733	ASO_G0225733_04	down	plus	128	196	0	128	170	123947
H3K4me1	ENSG00000225733	ASO_G0225733_AD_03	up	minus	201	170	2	199	168	123876
H3K4me1	ENSG00000225733	ASO_G0225733_AD_03	up	plus	201	196	2	199	168	123876
H3K4me1	ENSG00000225733	ASO_G0225733_AD_03	down	plus	363	196	1	362	169	123713
H3K4me1	ENSG00000225733	ASO_G0225733_AD_03	down	minus	363	170	1	362	169	123713
H3K4me1	ENSG00000225733	ASO_G0225733_AD_06	up	plus	22	196	0	22	170	124053
H3K4me1	ENSG00000225733	ASO_G0225733_AD_06	down	plus	107	196	0	107	170	123968
H3K4me1	ENSG00000225733	ASO_G0225733_AD_06	down	minus	107	170	0	107	170	123968
H3K4me1	ENSG00000225733	ASO_G0225733_AD_06	up	minus	22	170	0	22	170	124053
H3K4me1	ENSG00000225791	ASO_G0225791_05	down	minus	3	2	0	3	2	124240
H3K4me1	ENSG00000225791	ASO_G0225791_AD_05	down	minus	1	2	0	1	2	124242
H3K4me1	ENSG00000225791	ASO_G0225791_AD_05	up	minus	1	2	0	1	2	124242
H3K4me1	ENSG00000226950	ASO_G0226950_02	down	plus	2	11	0	2	57	124186
H3K4me1	ENSG00000226950	ASO_G0226950_02	down	minus	2	57	0	2	57	124186
H3K4me1	ENSG00000226950	ASO_G0226950_04	down	minus	21	57	0	21	57	124167
H3K4me1	ENSG00000226950	ASO_G0226950_04	down	plus	21	11	0	21	57	124167
H3K4me1	ENSG00000226950	ASO_G0226950_04	up	minus	44	57	0	44	57	124144
H3K4me1	ENSG00000226950	ASO_G0226950_04	up	plus	44	11	0	44	57	124144
H3K4me1	ENSG00000226950	ASO_G0226950_05	down	minus	51	57	0	51	57	124137
H3K4me1	ENSG00000226950	ASO_G0226950_05	up	minus	23	57	0	23	57	124165
H3K4me1	ENSG00000226950	ASO_G0226950_05	down	plus	51	11	0	51	57	124137
H3K4me1	ENSG00000226950	ASO_G0226950_05	up	plus	23	11	0	23	57	124165
H3K4me1	ENSG00000226950	ASO_G0226950_AD_07	up	minus	11	57	0	11	57	124177
H3K4me1	ENSG00000226950	ASO_G0226950_AD_07	down	plus	52	11	0	52	57	124136
H3K4me1	ENSG00000226950	ASO_G0226950_AD_07	up	plus	11	11	0	11	57	124177
H3K4me1	ENSG00000226950	ASO_G0226950_AD_07	down	minus	52	57	0	52	57	124136
H3K4me1	ENSG00000227036	ASO_G0227036_04	up	plus	144	148	0	144	148	123953
H3K4me1	ENSG00000227036	ASO_G0227036_04	down	plus	197	148	2	195	146	123902
H3K4me1	ENSG00000227036	ASO_G0227036_04	up	minus	144	13	0	144	148	123953
H3K4me1	ENSG00000227036	ASO_G0227036_04	down	minus	197	13	2	195	146	123902
H3K4me1	ENSG00000227036	ASO_G0227036_AD_07	down	minus	1	13	0	1	148	124096
H3K4me1	ENSG00000227036	ASO_G0227036_AD_07	up	minus	1	13	0	1	148	124096
H3K4me1	ENSG00000227036	ASO_G0227036_AD_07	up	plus	1	148	0	1	148	124096
H3K4me1	ENSG00000227036	ASO_G0227036_AD_07	down	plus	1	148	0	1	148	124096
H3K4me1	ENSG00000227053	ASO_G0227053_03	down	minus	1175	56	3	1172	37	123033
H3K4me1	ENSG00000227053	ASO_G0227053_03	up	plus	653	40	1	652	39	123553
H3K4me1	ENSG00000227053	ASO_G0227053_03	up	minus	653	56	1	652	39	123553
H3K4me1	ENSG00000227053	ASO_G0227053_03	down	plus	1175	40	3	1172	37	123033
H3K4me1	ENSG00000227053	ASO_G0227053_04	down	plus	312	40	1	311	39	123894
H3K4me1	ENSG00000227053	ASO_G0227053_04	up	plus	135	40	0	135	40	124070
H3K4me1	ENSG00000227053	ASO_G0227053_04	up	minus	135	56	0	135	40	124070
H3K4me1	ENSG00000227053	ASO_G0227053_04	down	minus	312	56	1	311	39	123894
H3K4me1	ENSG00000227811	ASO_G0227811_06	down	minus	66	1	0	66	1	124178
H3K4me1	ENSG00000227811	ASO_G0227811_06	up	plus	19	3	0	19	1	124225
H3K4me1	ENSG00000227811	ASO_G0227811_06	down	plus	66	3	0	66	1	124178
H3K4me1	ENSG00000227811	ASO_G0227811_06	up	minus	19	1	0	19	1	124225
H3K4me1	ENSG00000228526	ASO_G0228526_10	up	minus	4	1525	0	4	1525	122716
H3K4me1	ENSG00000228526	ASO_G0228526_10	down	plus	8	3335	0	8	1525	122712
H3K4me1	ENSG00000228526	ASO_G0228526_10	up	plus	4	3335	0	4	1525	122716
H3K4me1	ENSG00000228526	ASO_G0228526_10	down	minus	8	1525	0	8	1525	122712
H3K4me1	ENSG00000229647	ASO_G0229647_06	up	plus	6	8646	0	6	8646	115593
H3K4me1	ENSG00000229647	ASO_G0229647_06	up	minus	6	2731	0	6	8646	115593
H3K4me1	ENSG00000229647	ASO_G0229647_06	down	minus	56	2731	23	33	8623	115566
H3K4me1	ENSG00000229647	ASO_G0229647_06	down	plus	56	8646	23	33	8623	115566
H3K4me1	ENSG00000229647	ASO_G0229647_AD_09	down	minus	2	2731	0	2	8646	115597
H3K4me1	ENSG00000229647	ASO_G0229647_AD_09	down	plus	2	8646	0	2	8646	115597
H3K4me1	ENSG00000229847	ASO_G0229847_01	down	minus	23	216	0	23	315	123907
H3K4me1	ENSG00000229847	ASO_G0229847_01	up	plus	12	315	0	12	315	123918
H3K4me1	ENSG00000229847	ASO_G0229847_01	down	plus	23	315	0	23	315	123907
H3K4me1	ENSG00000229847	ASO_G0229847_01	up	minus	12	216	0	12	315	123918
H3K4me1	ENSG00000229847	ASO_G0229847_03	up	plus	27	315	0	27	315	123903
H3K4me1	ENSG00000229847	ASO_G0229847_03	down	plus	31	315	2	29	313	123901
H3K4me1	ENSG00000229847	ASO_G0229847_03	down	minus	31	216	2	29	313	123901
H3K4me1	ENSG00000229847	ASO_G0229847_03	up	minus	27	216	0	27	315	123903
H3K4me1	ENSG00000229847	ASO_G0229847_AD_02	down	minus	1151	216	14	1137	301	122793
H3K4me1	ENSG00000229847	ASO_G0229847_AD_02	up	plus	8	315	0	8	315	123922
H3K4me1	ENSG00000229847	ASO_G0229847_AD_02	up	minus	8	216	0	8	315	123922
H3K4me1	ENSG00000229847	ASO_G0229847_AD_02	down	plus	1151	315	14	1137	301	122793
H3K4me1	ENSG00000229847	ASO_G0229847_AD_04	up	minus	970	216	13	957	302	122973
H3K4me1	ENSG00000229847	ASO_G0229847_AD_04	down	plus	1733	315	16	1717	299	122213
H3K4me1	ENSG00000229847	ASO_G0229847_AD_04	down	minus	1733	216	16	1717	299	122213
H3K4me1	ENSG00000229847	ASO_G0229847_AD_04	up	plus	970	315	13	957	302	122973
H3K4me1	ENSG00000230590	ASO_G0230590_02	up	plus	5	1	0	5	1	124239
H3K4me1	ENSG00000230590	ASO_G0230590_02	down	plus	14	1	0	14	1	124230
H3K4me1	ENSG00000230590	ASO_G0230590_05	down	plus	9	1	0	9	1	124235
H3K4me1	ENSG00000230590	ASO_G0230590_06	down	plus	3	1	0	3	1	124241
H3K4me1	ENSG00000230590	ASO_G0230590_AD_02	down	plus	390	1	0	390	1	123854
H3K4me1	ENSG00000230590	ASO_G0230590_AD_02	up	plus	11	1	0	11	1	124233
H3K4me1	ENSG00000230590	ASO_G0230590_AD_03	down	plus	8	1	0	8	1	124236
H3K4me1	ENSG00000230630	ASO_G0230630_AD_04	down	plus	424	1520	7	417	690	123131
H3K4me1	ENSG00000230630	ASO_G0230630_AD_04	up	plus	229	1520	1	228	696	123320
H3K4me1	ENSG00000230630	ASO_G0230630_AD_04	up	minus	229	697	1	228	696	123320
H3K4me1	ENSG00000230630	ASO_G0230630_AD_04	down	minus	424	697	7	417	690	123131
H3K4me1	ENSG00000233117	ASO_G0233117_02	up	minus	687	5297	55	632	5241	118317
H3K4me1	ENSG00000233117	ASO_G0233117_02	down	plus	512	8753	64	448	5232	118501
H3K4me1	ENSG00000233117	ASO_G0233117_02	up	plus	687	8753	55	632	5241	118317
