hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K27ac	ENSG00000163364	ASO_G0163364_06	down	minus	21	11	0	21	15	124209
H3K27ac	ENSG00000163364	ASO_G0163364_06	down	plus	21	15	0	21	15	124209
H3K27ac	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	11	1	382	14	123848
H3K27ac	ENSG00000163364	ASO_G0163364_AD_01	up	plus	853	15	0	853	15	123377
H3K27ac	ENSG00000163364	ASO_G0163364_AD_01	down	plus	383	15	1	382	14	123848
H3K27ac	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	11	0	853	15	123377
H3K27ac	ENSG00000180769	ASO_G0180769_03	up	minus	1	111	0	1	111	124133
H3K27ac	ENSG00000180769	ASO_G0180769_03	up	plus	1	267	0	1	111	124133
H3K27ac	ENSG00000180769	ASO_G0180769_08	down	minus	6	111	0	6	111	124128
H3K27ac	ENSG00000180769	ASO_G0180769_08	down	plus	6	267	0	6	111	124128
H3K27ac	ENSG00000180769	ASO_G0180769_AD_03	down	minus	1	111	0	1	111	124133
H3K27ac	ENSG00000180769	ASO_G0180769_AD_03	up	minus	1	111	0	1	111	124133
H3K27ac	ENSG00000180769	ASO_G0180769_AD_03	down	plus	1	267	0	1	111	124133
H3K27ac	ENSG00000180769	ASO_G0180769_AD_03	up	plus	1	267	0	1	111	124133
H3K27ac	ENSG00000186615	ASO_G0186615_03	down	plus	2	48	0	2	48	124195
H3K27ac	ENSG00000186615	ASO_G0186615_03	down	minus	2	25	0	2	48	124195
H3K27ac	ENSG00000186615	ASO_G0186615_04	up	minus	121	25	0	121	48	124076
H3K27ac	ENSG00000186615	ASO_G0186615_04	up	plus	121	48	0	121	48	124076
H3K27ac	ENSG00000186615	ASO_G0186615_04	down	plus	150	48	1	149	47	124048
H3K27ac	ENSG00000186615	ASO_G0186615_04	down	minus	150	25	1	149	47	124048
H3K27ac	ENSG00000203706	ASO_G0203706_01	down	minus	274	1	0	274	1	123970
H3K27ac	ENSG00000203706	ASO_G0203706_01	down	plus	274	15	0	274	1	123970
H3K27ac	ENSG00000203706	ASO_G0203706_01	up	plus	260	15	0	260	1	123984
H3K27ac	ENSG00000203706	ASO_G0203706_01	up	minus	260	1	0	260	1	123984
H3K27ac	ENSG00000203721	ASO_G0203721_02	down	plus	1058	5	0	1058	5	123182
H3K27ac	ENSG00000203721	ASO_G0203721_02	up	plus	948	5	0	948	5	123292
H3K27ac	ENSG00000203721	ASO_G0203721_05	down	plus	140	5	0	140	5	124100
H3K27ac	ENSG00000203721	ASO_G0203721_05	up	plus	80	5	0	80	5	124160
H3K27ac	ENSG00000204054	ASO_G0204054_01	down	minus	2	3618	1	1	2785	121458
H3K27ac	ENSG00000204054	ASO_G0204054_01	down	plus	2	2786	1	1	2785	121458
H3K27ac	ENSG00000204054	ASO_G0204054_06	up	plus	320	2786	18	302	2768	121157
H3K27ac	ENSG00000204054	ASO_G0204054_06	up	minus	320	3618	18	302	2768	121157
H3K27ac	ENSG00000204054	ASO_G0204054_06	down	minus	334	3618	37	297	2749	121162
H3K27ac	ENSG00000204054	ASO_G0204054_06	down	plus	334	2786	37	297	2749	121162
H3K27ac	ENSG00000204054	ASO_G0204054_10	down	minus	1	3618	0	1	2786	121458
