hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K79me2	ENSG00000163364	ASO_G0163364_06	down	plus	21	51	0	21	11	124213
H3K79me2	ENSG00000163364	ASO_G0163364_06	down	minus	21	11	0	21	11	124213
H3K79me2	ENSG00000163364	ASO_G0163364_AD_01	up	plus	853	51	0	853	11	123381
H3K79me2	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	11	0	853	11	123381
H3K79me2	ENSG00000163364	ASO_G0163364_AD_01	down	plus	383	51	0	383	11	123851
H3K79me2	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	11	0	383	11	123851
H3K79me2	ENSG00000204054	ASO_G0204054_01	down	plus	2	2	0	2	17	124226
H3K79me2	ENSG00000204054	ASO_G0204054_01	down	minus	2	17	0	2	17	124226
H3K79me2	ENSG00000204054	ASO_G0204054_06	up	minus	320	17	0	320	17	123908
H3K79me2	ENSG00000204054	ASO_G0204054_06	up	plus	320	2	0	320	17	123908
H3K79me2	ENSG00000204054	ASO_G0204054_06	down	minus	334	17	0	334	17	123894
H3K79me2	ENSG00000204054	ASO_G0204054_06	down	plus	334	2	0	334	17	123894
H3K79me2	ENSG00000204054	ASO_G0204054_10	down	plus	1	2	0	1	17	124227
H3K79me2	ENSG00000204054	ASO_G0204054_10	down	minus	1	17	0	1	17	124227
H3K79me2	ENSG00000205181	ASO_G0205181_01	down	minus	65	4146	19	46	10809	113371
H3K79me2	ENSG00000205181	ASO_G0205181_01	up	minus	11	4146	2	9	10826	113408
H3K79me2	ENSG00000205181	ASO_G0205181_01	up	plus	11	10828	2	9	10826	113408
H3K79me2	ENSG00000205181	ASO_G0205181_01	down	plus	65	10828	19	46	10809	113371
H3K79me2	ENSG00000212978	ASO_G0212978_01	up	minus	4	2911	0	4	2456	121785
H3K79me2	ENSG00000212978	ASO_G0212978_01	down	minus	24	2911	3	21	2453	121768
H3K79me2	ENSG00000212978	ASO_G0212978_01	down	plus	24	2456	3	21	2453	121768
