hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H4K20me1	ENSG00000163364	ASO_G0163364_06	down	minus	21	33	0	21	24	124200
H4K20me1	ENSG00000163364	ASO_G0163364_06	down	plus	21	24	0	21	24	124200
H4K20me1	ENSG00000163364	ASO_G0163364_AD_01	down	plus	383	24	0	383	24	123838
H4K20me1	ENSG00000163364	ASO_G0163364_AD_01	up	plus	853	24	0	853	24	123368
H4K20me1	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	33	0	383	24	123838
H4K20me1	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	33	0	853	24	123368
H4K20me1	ENSG00000204054	ASO_G0204054_01	down	minus	2	3	0	2	3	124240
H4K20me1	ENSG00000204054	ASO_G0204054_06	down	minus	334	3	0	334	3	123908
H4K20me1	ENSG00000204054	ASO_G0204054_06	up	minus	320	3	0	320	3	123922
H4K20me1	ENSG00000204054	ASO_G0204054_10	down	minus	1	3	0	1	3	124241
H4K20me1	ENSG00000205181	ASO_G0205181_01	up	plus	11	2	0	11	2	124232
H4K20me1	ENSG00000205181	ASO_G0205181_01	down	plus	65	2	0	65	2	124178
H4K20me1	ENSG00000215039	ASO_G0215039_01	down	plus	571	22	2	569	20	123654
H4K20me1	ENSG00000215039	ASO_G0215039_01	up	plus	357	22	0	357	22	123866
H4K20me1	ENSG00000215039	ASO_G0215039_01	down	minus	571	12	2	569	20	123654
H4K20me1	ENSG00000215039	ASO_G0215039_01	up	minus	357	12	0	357	22	123866
H4K20me1	ENSG00000218510	ASO_G0218510_04	down	plus	13	4	0	13	1	124231
H4K20me1	ENSG00000218510	ASO_G0218510_04	down	minus	13	1	0	13	1	124231
H4K20me1	ENSG00000218510	ASO_G0218510_04	up	minus	3	1	0	3	1	124241
H4K20me1	ENSG00000218510	ASO_G0218510_04	up	plus	3	4	0	3	1	124241
H4K20me1	ENSG00000218510	ASO_G0218510_AD_03	up	plus	335	4	0	335	1	123909
H4K20me1	ENSG00000218510	ASO_G0218510_AD_03	up	minus	335	1	0	335	1	123909
H4K20me1	ENSG00000218510	ASO_G0218510_AD_03	down	minus	355	1	0	355	1	123889
H4K20me1	ENSG00000218510	ASO_G0218510_AD_03	down	plus	355	4	0	355	1	123889
H4K20me1	ENSG00000218510	ASO_G0218510_AD_06	up	plus	355	4	0	355	1	123889
H4K20me1	ENSG00000218510	ASO_G0218510_AD_06	up	minus	355	1	0	355	1	123889
H4K20me1	ENSG00000218510	ASO_G0218510_AD_06	down	plus	96	4	0	96	1	124148
H4K20me1	ENSG00000218510	ASO_G0218510_AD_06	down	minus	96	1	0	96	1	124148
H4K20me1	ENSG00000225733	ASO_G0225733_03	down	plus	13	253	0	13	253	123979
H4K20me1	ENSG00000225733	ASO_G0225733_03	down	minus	13	76	0	13	253	123979
H4K20me1	ENSG00000225733	ASO_G0225733_04	up	plus	106	253	2	104	251	123888
H4K20me1	ENSG00000225733	ASO_G0225733_04	down	plus	128	253	1	127	252	123865
H4K20me1	ENSG00000225733	ASO_G0225733_04	up	minus	106	76	2	104	251	123888
H4K20me1	ENSG00000225733	ASO_G0225733_04	down	minus	128	76	1	127	252	123865
H4K20me1	ENSG00000225733	ASO_G0225733_AD_03	down	minus	363	76	7	356	246	123636
H4K20me1	ENSG00000225733	ASO_G0225733_AD_03	up	plus	201	253	0	201	253	123791
H4K20me1	ENSG00000225733	ASO_G0225733_AD_03	up	minus	201	76	0	201	253	123791
H4K20me1	ENSG00000225733	ASO_G0225733_AD_03	down	plus	363	253	7	356	246	123636
H4K20me1	ENSG00000225733	ASO_G0225733_AD_06	up	plus	22	253	0	22	253	123970
H4K20me1	ENSG00000225733	ASO_G0225733_AD_06	down	minus	107	76	4	103	249	123889
H4K20me1	ENSG00000225733	ASO_G0225733_AD_06	up	minus	22	76	0	22	253	123970
H4K20me1	ENSG00000225733	ASO_G0225733_AD_06	down	plus	107	253	4	103	249	123889
H4K20me1	ENSG00000226950	ASO_G0226950_02	down	plus	2	2	0	2	2	124241
H4K20me1	ENSG00000226950	ASO_G0226950_04	up	plus	44	2	0	44	2	124199
H4K20me1	ENSG00000226950	ASO_G0226950_04	down	plus	21	2	0	21	2	124222
H4K20me1	ENSG00000226950	ASO_G0226950_05	up	plus	23	2	0	23	2	124220
H4K20me1	ENSG00000226950	ASO_G0226950_05	down	plus	51	2	0	51	2	124192
H4K20me1	ENSG00000226950	ASO_G0226950_AD_07	down	plus	52	2	0	52	2	124191
H4K20me1	ENSG00000226950	ASO_G0226950_AD_07	up	plus	11	2	0	11	2	124232
H4K20me1	ENSG00000227053	ASO_G0227053_03	down	minus	1175	6	0	1175	6	123064
H4K20me1	ENSG00000227053	ASO_G0227053_03	up	minus	653	6	0	653	6	123586
H4K20me1	ENSG00000227053	ASO_G0227053_04	down	minus	312	6	0	312	6	123927
H4K20me1	ENSG00000227053	ASO_G0227053_04	up	minus	135	6	0	135	6	124104
H4K20me1	ENSG00000230074	ASO_G0230074_05	down	plus	1276	1	0	1276	1	122968
H4K20me1	ENSG00000230074	ASO_G0230074_05	down	minus	1276	2	0	1276	1	122968
H4K20me1	ENSG00000230074	ASO_G0230074_05	up	plus	1090	1	0	1090	1	123154
H4K20me1	ENSG00000230074	ASO_G0230074_05	up	minus	1090	2	0	1090	1	123154
H4K20me1	ENSG00000230074	ASO_G0230074_07	down	plus	198	1	0	198	1	124046
H4K20me1	ENSG00000230074	ASO_G0230074_07	up	minus	57	2	0	57	1	124187
H4K20me1	ENSG00000230074	ASO_G0230074_07	up	plus	57	1	0	57	1	124187
H4K20me1	ENSG00000230074	ASO_G0230074_07	down	minus	198	2	0	198	1	124046
H4K20me1	ENSG00000230630	ASO_G0230630_AD_04	down	minus	424	32	1	423	31	123790
H4K20me1	ENSG00000230630	ASO_G0230630_AD_04	down	plus	424	67	1	423	31	123790
H4K20me1	ENSG00000230630	ASO_G0230630_AD_04	up	plus	229	67	0	229	32	123984
H4K20me1	ENSG00000230630	ASO_G0230630_AD_04	up	minus	229	32	0	229	32	123984
H4K20me1	ENSG00000230844	ASO_G0230844_01	down	plus	553	2	0	553	2	123690
H4K20me1	ENSG00000230844	ASO_G0230844_01	up	plus	326	2	0	326	2	123917
H4K20me1	ENSG00000233117	ASO_G0233117_02	down	minus	512	14	0	512	9	123724
H4K20me1	ENSG00000233117	ASO_G0233117_02	up	plus	687	9	0	687	9	123549
H4K20me1	ENSG00000233117	ASO_G0233117_02	up	minus	687	14	0	687	9	123549
H4K20me1	ENSG00000233117	ASO_G0233117_02	down	plus	512	9	0	512	9	123724
H4K20me1	ENSG00000233117	ASO_G0233117_04	down	minus	3	14	0	3	9	124233
H4K20me1	ENSG00000233117	ASO_G0233117_04	down	plus	3	9	0	3	9	124233
H4K20me1	ENSG00000233117	ASO_G0233117_04	up	plus	1	9	0	1	9	124235
H4K20me1	ENSG00000233117	ASO_G0233117_04	up	minus	1	14	0	1	9	124235
H4K20me1	ENSG00000233527	ASO_G0233527_02	up	plus	2257	33	0	2257	33	121955
H4K20me1	ENSG00000233527	ASO_G0233527_02	down	plus	2499	33	0	2499	33	121713
H4K20me1	ENSG00000233527	ASO_G0233527_02	up	minus	2257	12	0	2257	33	121955
H4K20me1	ENSG00000233527	ASO_G0233527_02	down	minus	2499	12	0	2499	33	121713
H4K20me1	ENSG00000233527	ASO_G0233527_03	down	minus	1	12	0	1	33	124211
H4K20me1	ENSG00000233527	ASO_G0233527_03	down	plus	1	33	0	1	33	124211
H4K20me1	ENSG00000233527	ASO_G0233527_07	up	minus	1	12	0	1	33	124211
H4K20me1	ENSG00000233527	ASO_G0233527_07	up	plus	1	33	0	1	33	124211
H4K20me1	ENSG00000233901	ASO_G0233901_02	down	minus	2	18	0	2	31	124212
H4K20me1	ENSG00000233901	ASO_G0233901_02	down	plus	2	31	0	2	31	124212
H4K20me1	ENSG00000233901	ASO_G0233901_04	down	plus	123	31	1	122	30	124092
H4K20me1	ENSG00000233901	ASO_G0233901_04	down	minus	123	18	1	122	30	124092
H4K20me1	ENSG00000233901	ASO_G0233901_04	up	minus	56	18	0	56	31	124158
H4K20me1	ENSG00000233901	ASO_G0233901_04	up	plus	56	31	0	56	31	124158
H4K20me1	ENSG00000233901	ASO_G0233901_05	down	plus	1859	31	5	1854	26	122360
H4K20me1	ENSG00000233901	ASO_G0233901_05	up	plus	1410	31	0	1410	31	122804
H4K20me1	ENSG00000233901	ASO_G0233901_05	up	minus	1410	18	0	1410	31	122804
H4K20me1	ENSG00000233901	ASO_G0233901_05	down	minus	1859	18	5	1854	26	122360
H4K20me1	ENSG00000233937	ASO_G0233937_05	down	plus	1	2	0	1	2	124242
H4K20me1	ENSG00000234171	ASO_G0234171_01	down	minus	39	1	0	39	1	124205
H4K20me1	ENSG00000234171	ASO_G0234171_02	down	minus	879	1	1	878	0	123366
H4K20me1	ENSG00000234171	ASO_G0234171_02	up	minus	503	1	0	503	1	123741
H4K20me1	ENSG00000234171	ASO_G0234171_03	down	minus	2	1	0	2	1	124242
H4K20me1	ENSG00000234171	ASO_G0234171_06	up	minus	126	1	0	126	1	124118
H4K20me1	ENSG00000234171	ASO_G0234171_06	down	minus	231	1	0	231	1	124013
H4K20me1	ENSG00000234171	ASO_G0234171_09	down	minus	354	1	0	354	1	123890
H4K20me1	ENSG00000234171	ASO_G0234171_09	up	minus	184	1	0	184	1	124060
H4K20me1	ENSG00000234456	ASO_G0234456_01	up	plus	1	1654	0	1	304	123940
H4K20me1	ENSG00000234456	ASO_G0234456_01	up	minus	1	304	0	1	304	123940
H4K20me1	ENSG00000234456	ASO_G0234456_01	down	plus	20	1654	1	19	303	123922
H4K20me1	ENSG00000234456	ASO_G0234456_01	down	minus	20	304	1	19	303	123922
H4K20me1	ENSG00000234456	ASO_G0234456_04	down	plus	31	1654	0	31	304	123910
H4K20me1	ENSG00000234456	ASO_G0234456_04	up	plus	9	1654	0	9	304	123932
H4K20me1	ENSG00000234456	ASO_G0234456_04	down	minus	31	304	0	31	304	123910
H4K20me1	ENSG00000234456	ASO_G0234456_04	up	minus	9	304	0	9	304	123932
H4K20me1	ENSG00000234546	ASO_G0234546_02	down	plus	8	35	0	8	32	124205
H4K20me1	ENSG00000234546	ASO_G0234546_02	down	minus	8	32	0	8	32	124205
H4K20me1	ENSG00000234546	ASO_G0234546_02	up	plus	5	35	0	5	32	124208
H4K20me1	ENSG00000234546	ASO_G0234546_02	up	minus	5	32	0	5	32	124208
H4K20me1	ENSG00000234546	ASO_G0234546_07	up	plus	41	35	0	41	32	124172
H4K20me1	ENSG00000234546	ASO_G0234546_07	down	minus	117	32	0	117	32	124096
H4K20me1	ENSG00000234546	ASO_G0234546_07	up	minus	41	32	0	41	32	124172
H4K20me1	ENSG00000234546	ASO_G0234546_07	down	plus	117	35	0	117	32	124096
H4K20me1	ENSG00000234608	ASO_G0234608_06	down	plus	619	8	0	619	8	123618
H4K20me1	ENSG00000234608	ASO_G0234608_06	up	plus	227	8	0	227	8	124010
H4K20me1	ENSG00000234608	ASO_G0234608_AD_01	up	plus	53	8	0	53	8	124184
H4K20me1	ENSG00000234608	ASO_G0234608_AD_01	down	plus	48	8	0	48	8	124189
H4K20me1	ENSG00000234608	ASO_G0234608_AD_04	up	plus	76	8	0	76	8	124161
H4K20me1	ENSG00000234608	ASO_G0234608_AD_04	down	plus	95	8	0	95	8	124142
H4K20me1	ENSG00000236810	ASO_G0236810_AD_02	down	minus	2	81	0	2	11	124232
H4K20me1	ENSG00000236810	ASO_G0236810_AD_02	down	plus	2	11	0	2	11	124232
H4K20me1	ENSG00000236810	ASO_G0236810_AD_06	down	minus	1	81	0	1	11	124233
H4K20me1	ENSG00000236810	ASO_G0236810_AD_06	up	plus	6	11	0	6	11	124228
H4K20me1	ENSG00000236810	ASO_G0236810_AD_06	up	minus	6	81	0	6	11	124228
H4K20me1	ENSG00000236810	ASO_G0236810_AD_06	down	plus	1	11	0	1	11	124233
H4K20me1	ENSG00000237187	ASO_G0237187_03	down	minus	4	33	0	4	33	124208
H4K20me1	ENSG00000237187	ASO_G0237187_03	down	plus	4	113	0	4	33	124208
H4K20me1	ENSG00000237187	ASO_G0237187_AD_01	down	plus	2	113	0	2	33	124210
H4K20me1	ENSG00000237187	ASO_G0237187_AD_01	down	minus	2	33	0	2	33	124210
H4K20me1	ENSG00000237187	ASO_G0237187_AD_08	down	plus	2	113	0	2	33	124210
H4K20me1	ENSG00000237187	ASO_G0237187_AD_08	down	minus	2	33	0	2	33	124210
H4K20me1	ENSG00000237187	ASO_G0237187_AD_08	up	minus	52	33	0	52	33	124160
H4K20me1	ENSG00000237187	ASO_G0237187_AD_08	up	plus	52	113	0	52	33	124160
H4K20me1	ENSG00000240875	ASO_G0240875_01	up	minus	3	33	0	3	30	124212
H4K20me1	ENSG00000240875	ASO_G0240875_01	up	plus	3	30	0	3	30	124212
H4K20me1	ENSG00000240875	ASO_G0240875_01	down	minus	2	33	0	2	30	124213
H4K20me1	ENSG00000240875	ASO_G0240875_01	down	plus	2	30	0	2	30	124213
H4K20me1	ENSG00000240875	ASO_G0240875_02	down	plus	89	30	0	89	30	124126
H4K20me1	ENSG00000240875	ASO_G0240875_02	up	plus	72	30	0	72	30	124143
H4K20me1	ENSG00000240875	ASO_G0240875_02	down	minus	89	33	0	89	30	124126
H4K20me1	ENSG00000240875	ASO_G0240875_02	up	minus	72	33	0	72	30	124143
H4K20me1	ENSG00000240875	ASO_G0240875_03	down	minus	302	33	0	302	30	123913
H4K20me1	ENSG00000240875	ASO_G0240875_03	down	plus	302	30	0	302	30	123913
H4K20me1	ENSG00000240875	ASO_G0240875_03	up	plus	163	30	0	163	30	124052
H4K20me1	ENSG00000240875	ASO_G0240875_03	up	minus	163	33	0	163	30	124052
H4K20me1	ENSG00000240875	ASO_G0240875_04	down	minus	6	33	0	6	30	124209
H4K20me1	ENSG00000240875	ASO_G0240875_04	up	minus	2	33	0	2	30	124213
H4K20me1	ENSG00000240875	ASO_G0240875_04	down	plus	6	30	0	6	30	124209
H4K20me1	ENSG00000240875	ASO_G0240875_04	up	plus	2	30	0	2	30	124213
H4K20me1	ENSG00000240875	ASO_G0240875_10	up	plus	14	30	0	14	30	124201
H4K20me1	ENSG00000240875	ASO_G0240875_10	up	minus	14	33	0	14	30	124201
H4K20me1	ENSG00000240875	ASO_G0240875_10	down	minus	6	33	0	6	30	124209
H4K20me1	ENSG00000240875	ASO_G0240875_10	down	plus	6	30	0	6	30	124209
H4K20me1	ENSG00000241990	ASO_G0241990_01	up	minus	1	1	0	1	1	124243
H4K20me1	ENSG00000241990	ASO_G0241990_01	down	minus	2	1	0	2	1	124242
H4K20me1	ENSG00000245937	ASO_G0245937_01	up	plus	5	11	0	5	11	124229
H4K20me1	ENSG00000245937	ASO_G0245937_01	up	minus	5	44	0	5	11	124229
H4K20me1	ENSG00000245937	ASO_G0245937_01	down	minus	34	44	0	34	11	124200
H4K20me1	ENSG00000245937	ASO_G0245937_01	down	plus	34	11	0	34	11	124200
H4K20me1	ENSG00000245937	ASO_G0245937_AD_02	down	plus	1	11	0	1	11	124233
H4K20me1	ENSG00000245937	ASO_G0245937_AD_02	down	minus	1	44	0	1	11	124233
H4K20me1	ENSG00000245937	ASO_G0245937_AD_05	up	plus	8	11	0	8	11	124226
H4K20me1	ENSG00000245937	ASO_G0245937_AD_05	down	minus	9	44	0	9	11	124225
H4K20me1	ENSG00000245937	ASO_G0245937_AD_05	down	plus	9	11	0	9	11	124225
H4K20me1	ENSG00000245937	ASO_G0245937_AD_05	up	minus	8	44	0	8	11	124226
H4K20me1	ENSG00000246067	ASO_G0246067_05	down	plus	4	8	0	4	8	124233
H4K20me1	ENSG00000246067	ASO_G0246067_05	down	minus	4	14	0	4	8	124233
