hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K27me3	ENSG00000163364	ASO_G0163364_06	down	minus	21	1	0	21	1	124223
H3K27me3	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	1	0	853	1	123391
H3K27me3	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	1	0	383	1	123861
H3K27me3	ENSG00000180769	ASO_G0180769_03	up	plus	1	2	0	1	2	124242
H3K27me3	ENSG00000180769	ASO_G0180769_08	down	plus	6	2	0	6	2	124237
H3K27me3	ENSG00000180769	ASO_G0180769_AD_03	up	plus	1	2	0	1	2	124242
H3K27me3	ENSG00000180769	ASO_G0180769_AD_03	down	plus	1	2	0	1	2	124242
H3K27me3	ENSG00000182165	ASO_G0182165_AD_04	down	minus	3	10	0	3	8	124234
H3K27me3	ENSG00000182165	ASO_G0182165_AD_04	down	plus	3	8	0	3	8	124234
H3K27me3	ENSG00000182165	ASO_G0182165_AD_08	down	minus	6	10	0	6	8	124231
H3K27me3	ENSG00000182165	ASO_G0182165_AD_08	down	plus	6	8	0	6	8	124231
H3K27me3	ENSG00000182165	ASO_G0182165_AD_10	down	minus	2	10	0	2	8	124235
H3K27me3	ENSG00000182165	ASO_G0182165_AD_10	down	plus	2	8	0	2	8	124235
H3K27me3	ENSG00000186615	ASO_G0186615_03	down	minus	2	1	0	2	1	124242
H3K27me3	ENSG00000186615	ASO_G0186615_04	down	minus	150	1	0	150	1	124094
H3K27me3	ENSG00000186615	ASO_G0186615_04	up	minus	121	1	0	121	1	124123
H3K27me3	ENSG00000205181	ASO_G0205181_01	down	plus	65	13	0	65	22	124158
H3K27me3	ENSG00000205181	ASO_G0205181_01	down	minus	65	22	0	65	22	124158
H3K27me3	ENSG00000205181	ASO_G0205181_01	up	plus	11	13	0	11	22	124212
H3K27me3	ENSG00000205181	ASO_G0205181_01	up	minus	11	22	0	11	22	124212
H3K27me3	ENSG00000212978	ASO_G0212978_01	down	minus	24	5695	1	23	10137	114084
H3K27me3	ENSG00000212978	ASO_G0212978_01	up	minus	4	5695	0	4	10138	114103
H3K27me3	ENSG00000212978	ASO_G0212978_01	down	plus	24	10139	1	23	10137	114084
