hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H4K20me1	ENSG00000225489	G0225489_01	down	minus	2	2	0	2	2	124241
H4K20me1	ENSG00000225975	G0225975_05	down	minus	1	4	0	1	4	124240
H4K20me1	ENSG00000225975	G0225975_05	up	minus	1	4	0	1	4	124240
H4K20me1	ENSG00000225975	G0225975_10	down	minus	2	4	0	2	4	124239
H4K20me1	ENSG00000225975	G0225975_10	up	minus	5	4	0	5	4	124236
H4K20me1	ENSG00000228794	G0228794_01	up	minus	130	1	0	130	1	124114
H4K20me1	ENSG00000228794	G0228794_01	down	minus	120	1	0	120	1	124124
H4K20me1	ENSG00000228794	G0228794_04	down	minus	188	1	0	188	1	124056
H4K20me1	ENSG00000228794	G0228794_04	up	minus	100	1	0	100	1	124144
H4K20me1	ENSG00000230844	G0230844_01	up	plus	1	2	0	1	2	124242
H4K20me1	ENSG00000230844	G0230844_01	down	plus	2	2	0	2	2	124241
H4K20me1	ENSG00000230844	G0230844_AD_07	down	plus	203	2	0	203	2	124040
H4K20me1	ENSG00000230844	G0230844_AD_07	up	plus	260	2	0	260	2	123983
H4K20me1	ENSG00000234171	G0234171_02	up	minus	99	1	0	99	1	124145
H4K20me1	ENSG00000234171	G0234171_02	down	minus	76	1	0	76	1	124168
H4K20me1	ENSG00000234171	G0234171_03	up	minus	32	1	0	32	1	124212
H4K20me1	ENSG00000234171	G0234171_03	down	minus	48	1	0	48	1	124196
H4K20me1	ENSG00000234171	G0234171_09	up	minus	22	1	0	22	1	124222
H4K20me1	ENSG00000234171	G0234171_09	down	minus	34	1	0	34	1	124210
H4K20me1	ENSG00000234546	G0234546_02	up	plus	138	35	0	138	32	124075
H4K20me1	ENSG00000234546	G0234546_02	up	minus	138	32	0	138	32	124075
H4K20me1	ENSG00000234546	G0234546_02	down	minus	150	32	1	149	31	124064
H4K20me1	ENSG00000234546	G0234546_02	down	plus	150	35	1	149	31	124064
H4K20me1	ENSG00000234546	G0234546_AD_04	down	minus	1	32	0	1	32	124212
H4K20me1	ENSG00000234546	G0234546_AD_04	down	plus	1	35	0	1	32	124212
H4K20me1	ENSG00000234546	G0234546_AD_04	up	plus	2	35	0	2	32	124211
H4K20me1	ENSG00000234546	G0234546_AD_04	up	minus	2	32	0	2	32	124211
H4K20me1	ENSG00000234546	G0234546_AD_05	down	minus	1	32	0	1	32	124212
H4K20me1	ENSG00000234546	G0234546_AD_05	down	plus	1	35	0	1	32	124212
H4K20me1	ENSG00000234546	G0234546_AD_06	down	minus	9	32	0	9	32	124204
H4K20me1	ENSG00000234546	G0234546_AD_06	up	plus	9	35	0	9	32	124204
H4K20me1	ENSG00000234546	G0234546_AD_06	up	minus	9	32	0	9	32	124204
H4K20me1	ENSG00000234546	G0234546_AD_06	down	plus	9	35	0	9	32	124204
H4K20me1	ENSG00000234546	G0234546_AD_09	down	plus	1	35	0	1	32	124212
H4K20me1	ENSG00000234546	G0234546_AD_09	down	minus	1	32	0	1	32	124212
H4K20me1	ENSG00000234608	G0234608_03	down	plus	21	8	0	21	8	124216
H4K20me1	ENSG00000234608	G0234608_03	up	plus	95	8	0	95	8	124142
H4K20me1	ENSG00000234608	G0234608_AD_08	up	plus	12	8	0	12	8	124225
H4K20me1	ENSG00000234608	G0234608_AD_08	down	plus	27	8	0	27	8	124210
H4K20me1	ENSG00000235560	G0235560_01	up	minus	110	175	0	110	175	123960
H4K20me1	ENSG00000235560	G0235560_01	up	plus	110	94	0	110	175	123960
H4K20me1	ENSG00000235560	G0235560_01	down	minus	87	175	0	87	175	123983
H4K20me1	ENSG00000235560	G0235560_01	down	plus	87	94	0	87	175	123983
H4K20me1	ENSG00000235560	G0235560_03	up	plus	8	94	0	8	175	124062
H4K20me1	ENSG00000235560	G0235560_03	down	plus	26	94	0	26	175	124044
H4K20me1	ENSG00000235560	G0235560_03	down	minus	26	175	0	26	175	124044
H4K20me1	ENSG00000235560	G0235560_03	up	minus	8	175	0	8	175	124062
H4K20me1	ENSG00000235560	G0235560_07	up	minus	1	175	0	1	175	124069
H4K20me1	ENSG00000235560	G0235560_07	up	plus	1	94	0	1	175	124069
H4K20me1	ENSG00000235823	G0235823_AD_01	down	minus	1	2	0	1	2	124242
H4K20me1	ENSG00000235823	G0235823_AD_01	down	plus	1	1	0	1	2	124242
H4K20me1	ENSG00000235823	G0235823_AD_08	down	minus	5	2	0	5	2	124238
H4K20me1	ENSG00000235823	G0235823_AD_08	down	plus	5	1	0	5	2	124238
H4K20me1	ENSG00000237976	G0237976_02	down	plus	3	3	0	3	3	124239
H4K20me1	ENSG00000237976	G0237976_02	up	plus	2	3	0	2	3	124240
H4K20me1	ENSG00000237976	G0237976_03	up	plus	5	3	0	5	3	124237
H4K20me1	ENSG00000237976	G0237976_03	down	plus	20	3	0	20	3	124222
H4K20me1	ENSG00000245937	G0245937_01	up	minus	33	44	0	33	11	124201
H4K20me1	ENSG00000245937	G0245937_01	up	plus	33	11	0	33	11	124201
H4K20me1	ENSG00000245937	G0245937_01	down	minus	47	44	0	47	11	124187
H4K20me1	ENSG00000245937	G0245937_01	down	plus	47	11	0	47	11	124187
H4K20me1	ENSG00000245937	G0245937_04	down	plus	1	11	0	1	11	124233
H4K20me1	ENSG00000245937	G0245937_04	down	minus	1	44	0	1	11	124233
H4K20me1	ENSG00000245937	G0245937_AD_02	up	plus	67	11	0	67	11	124167
H4K20me1	ENSG00000245937	G0245937_AD_02	down	minus	80	44	0	80	11	124154
H4K20me1	ENSG00000245937	G0245937_AD_02	up	minus	67	44	0	67	11	124167
H4K20me1	ENSG00000245937	G0245937_AD_02	down	plus	80	11	0	80	11	124154
H4K20me1	ENSG00000246067	G0246067_AD_04	down	plus	1	8	0	1	8	124236
H4K20me1	ENSG00000246067	G0246067_AD_04	down	minus	1	14	0	1	8	124236
H4K20me1	ENSG00000246067	G0246067_AD_09	down	plus	3	8	0	3	8	124234
H4K20me1	ENSG00000246067	G0246067_AD_09	down	minus	3	14	0	3	8	124234
H4K20me1	ENSG00000246273	G0246273_01	down	plus	2	24	0	2	24	124219
H4K20me1	ENSG00000246273	G0246273_01	down	minus	2	36	0	2	24	124219
H4K20me1	ENSG00000246273	G0246273_02	up	minus	19	36	0	19	24	124202
H4K20me1	ENSG00000246273	G0246273_02	up	plus	19	24	0	19	24	124202
H4K20me1	ENSG00000246273	G0246273_02	down	plus	32	24	0	32	24	124189
H4K20me1	ENSG00000246273	G0246273_02	down	minus	32	36	0	32	24	124189
H4K20me1	ENSG00000246273	G0246273_05	up	plus	4	24	0	4	24	124217
H4K20me1	ENSG00000246273	G0246273_05	down	minus	4	36	0	4	24	124217
H4K20me1	ENSG00000246273	G0246273_05	up	minus	4	36	0	4	24	124217
H4K20me1	ENSG00000246273	G0246273_05	down	plus	4	24	0	4	24	124217
H4K20me1	ENSG00000246273	G0246273_AD_08	up	plus	1	24	0	1	24	124220
H4K20me1	ENSG00000246273	G0246273_AD_08	down	plus	4	24	0	4	24	124217
H4K20me1	ENSG00000246273	G0246273_AD_08	down	minus	4	36	0	4	24	124217
H4K20me1	ENSG00000246273	G0246273_AD_08	up	minus	1	36	0	1	24	124220
H4K20me1	ENSG00000249042	G0249042_01	down	minus	1	89	0	1	89	124155
H4K20me1	ENSG00000249042	G0249042_01	down	plus	1	712	0	1	89	124155
H4K20me1	ENSG00000249042	G0249042_08	down	plus	87	712	1	86	88	124070
H4K20me1	ENSG00000249042	G0249042_08	down	minus	87	89	1	86	88	124070
H4K20me1	ENSG00000249042	G0249042_08	up	minus	251	89	0	251	89	123905
H4K20me1	ENSG00000249042	G0249042_08	up	plus	251	712	0	251	89	123905
H4K20me1	ENSG00000251580	G0251580_01	down	plus	8	2	0	8	2	124235
H4K20me1	ENSG00000251580	G0251580_01	up	plus	3	2	0	3	2	124240
H4K20me1	ENSG00000251580	G0251580_07	down	plus	4	2	0	4	2	124239
H4K20me1	ENSG00000251580	G0251580_07	up	plus	5	2	0	5	2	124238
H4K20me1	ENSG00000253352	G0253352_01	down	minus	40	10	0	40	10	124195
H4K20me1	ENSG00000253352	G0253352_01	up	minus	21	10	0	21	10	124214
H4K20me1	ENSG00000253352	G0253352_01	down	plus	40	9	0	40	10	124195
H4K20me1	ENSG00000253352	G0253352_01	up	plus	21	9	0	21	10	124214
H4K20me1	ENSG00000253352	G0253352_02	down	minus	1	10	0	1	10	124234
