hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K4me2	ENSG00000196668	G0196668_02	up	minus	190	854	4	186	850	123205
H3K4me2	ENSG00000196668	G0196668_02	up	plus	190	3228	4	186	850	123205
H3K4me2	ENSG00000196668	G0196668_02	down	minus	202	854	4	197	850	123194
H3K4me2	ENSG00000196668	G0196668_02	down	plus	202	3228	4	197	850	123194
H3K4me2	ENSG00000196668	G0196668_08	up	minus	246	854	5	241	849	123150
H3K4me2	ENSG00000196668	G0196668_08	down	plus	186	3228	2	184	852	123207
H3K4me2	ENSG00000196668	G0196668_08	up	plus	246	3228	5	241	849	123150
H3K4me2	ENSG00000196668	G0196668_08	down	minus	186	854	2	184	852	123207
H3K4me2	ENSG00000203721	G0203721_01	up	plus	7	3	0	7	3	124235
H3K4me2	ENSG00000203721	G0203721_01	down	plus	9	3	0	9	3	124233
H3K4me2	ENSG00000203721	G0203721_05	down	plus	13	3	0	13	3	124229
H3K4me2	ENSG00000203721	G0203721_05	up	plus	1	3	0	1	3	124241
H3K4me2	ENSG00000212978	G0212978_03	down	minus	4	12332	0	4	3869	120372
H3K4me2	ENSG00000212978	G0212978_03	down	plus	4	3869	0	4	3869	120372
H3K4me2	ENSG00000212978	G0212978_03	up	plus	3	3869	0	3	3869	120373
H3K4me2	ENSG00000212978	G0212978_03	up	minus	3	12332	0	3	3869	120373
H3K4me2	ENSG00000212978	G0212978_04	down	plus	4	3869	0	4	3869	120372
H3K4me2	ENSG00000212978	G0212978_04	up	plus	5	3869	0	5	3869	120371
H3K4me2	ENSG00000212978	G0212978_04	down	minus	4	12332	0	4	3869	120372
H3K4me2	ENSG00000212978	G0212978_04	up	minus	5	12332	0	5	3869	120371
H3K4me2	ENSG00000212978	G0212978_06	down	minus	8	12332	1	7	3868	120369
H3K4me2	ENSG00000212978	G0212978_06	down	plus	8	3869	1	7	3868	120369
H3K4me2	ENSG00000213468	G0213468_04	down	plus	2	29	0	2	29	124214
H3K4me2	ENSG00000213468	G0213468_04	down	minus	2	6	0	2	29	124214
H3K4me2	ENSG00000213468	G0213468_05	down	plus	38	29	0	38	29	124178
H3K4me2	ENSG00000213468	G0213468_05	up	minus	46	6	0	46	29	124170
H3K4me2	ENSG00000213468	G0213468_05	up	plus	46	29	0	46	29	124170
H3K4me2	ENSG00000213468	G0213468_05	down	minus	38	6	0	38	29	124178
H3K4me2	ENSG00000225489	G0225489_01	down	minus	2	166	0	2	144	124099
H3K4me2	ENSG00000225489	G0225489_01	down	plus	2	144	0	2	144	124099
H3K4me2	ENSG00000225975	G0225975_05	down	minus	1	10	0	1	10	124234
H3K4me2	ENSG00000225975	G0225975_05	up	plus	1	9	0	1	10	124234
H3K4me2	ENSG00000225975	G0225975_05	down	plus	1	9	0	1	10	124234
H3K4me2	ENSG00000225975	G0225975_05	up	minus	1	10	0	1	10	124234
H3K4me2	ENSG00000225975	G0225975_10	down	minus	2	10	0	2	10	124233
H3K4me2	ENSG00000225975	G0225975_10	up	minus	5	10	0	5	10	124230
H3K4me2	ENSG00000225975	G0225975_10	up	plus	5	9	0	5	10	124230
H3K4me2	ENSG00000225975	G0225975_10	down	plus	2	9	0	2	10	124233
H3K4me2	ENSG00000227403	G0227403_01	down	plus	3	2325	0	3	2325	121917
H3K4me2	ENSG00000227403	G0227403_01	up	minus	1	1962	0	1	2325	121919
H3K4me2	ENSG00000227403	G0227403_01	down	minus	3	1962	0	3	2325	121917
H3K4me2	ENSG00000227403	G0227403_01	up	plus	1	2325	0	1	2325	121919
H3K4me2	ENSG00000227403	G0227403_02	down	minus	4	1962	1	3	2324	121917
H3K4me2	ENSG00000227403	G0227403_02	up	plus	1	2325	0	1	2325	121919
H3K4me2	ENSG00000227403	G0227403_02	up	minus	1	1962	0	1	2325	121919
H3K4me2	ENSG00000227403	G0227403_02	down	plus	4	2325	1	3	2324	121917
H3K4me2	ENSG00000227403	G0227403_04	down	plus	19	2325	2	17	2323	121903
H3K4me2	ENSG00000227403	G0227403_04	up	plus	16	2325	0	16	2325	121904
H3K4me2	ENSG00000227403	G0227403_04	down	minus	19	1962	2	17	2323	121903
H3K4me2	ENSG00000227403	G0227403_04	up	minus	16	1962	0	16	2325	121904
H3K4me2	ENSG00000231806	G0231806_07	up	plus	127	17	0	127	17	124101
H3K4me2	ENSG00000231806	G0231806_07	down	plus	54	17	0	54	17	124174
H3K4me2	ENSG00000231806	G0231806_08	down	plus	3	17	0	3	17	124225
H3K4me2	ENSG00000231806	G0231806_08	up	plus	3	17	0	3	17	124225
H3K4me2	ENSG00000234546	G0234546_02	down	minus	150	2835	12	138	2823	121272
H3K4me2	ENSG00000234546	G0234546_02	up	plus	138	85	10	128	2825	121282
H3K4me2	ENSG00000234546	G0234546_02	up	minus	138	2835	10	128	2825	121282
H3K4me2	ENSG00000234546	G0234546_02	down	plus	150	85	12	138	2823	121272
H3K4me2	ENSG00000234546	G0234546_AD_04	down	plus	1	85	0	1	2835	121409
H3K4me2	ENSG00000234546	G0234546_AD_04	up	minus	2	2835	0	2	2835	121408
H3K4me2	ENSG00000234546	G0234546_AD_04	up	plus	2	85	0	2	2835	121408
H3K4me2	ENSG00000234546	G0234546_AD_04	down	minus	1	2835	0	1	2835	121409
H3K4me2	ENSG00000234546	G0234546_AD_05	down	plus	1	85	0	1	2835	121409
H3K4me2	ENSG00000234546	G0234546_AD_05	down	minus	1	2835	0	1	2835	121409
H3K4me2	ENSG00000234546	G0234546_AD_06	up	plus	9	85	1	8	2834	121402
H3K4me2	ENSG00000234546	G0234546_AD_06	up	minus	9	2835	1	8	2834	121402
H3K4me2	ENSG00000234546	G0234546_AD_06	down	minus	9	2835	2	7	2833	121403
H3K4me2	ENSG00000234546	G0234546_AD_06	down	plus	9	85	2	7	2833	121403
H3K4me2	ENSG00000234546	G0234546_AD_09	down	plus	1	85	0	1	2835	121409
