hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K9me3	ENSG00000212978	G0212978_03	up	minus	3	2	0	3	2	124240
H3K9me3	ENSG00000212978	G0212978_03	down	minus	4	2	0	4	2	124239
H3K9me3	ENSG00000212978	G0212978_03	down	plus	4	2	0	4	2	124239
H3K9me3	ENSG00000212978	G0212978_03	up	plus	3	2	0	3	2	124240
H3K9me3	ENSG00000212978	G0212978_04	down	minus	4	2	0	4	2	124239
H3K9me3	ENSG00000212978	G0212978_04	down	plus	4	2	0	4	2	124239
H3K9me3	ENSG00000212978	G0212978_04	up	minus	5	2	0	5	2	124238
H3K9me3	ENSG00000212978	G0212978_04	up	plus	5	2	0	5	2	124238
H3K9me3	ENSG00000212978	G0212978_06	down	minus	8	2	0	8	2	124235
H3K9me3	ENSG00000212978	G0212978_06	down	plus	8	2	0	8	2	124235
H3K9me3	ENSG00000213468	G0213468_04	down	minus	2	22	0	2	51	124192
H3K9me3	ENSG00000213468	G0213468_04	down	plus	2	51	0	2	51	124192
H3K9me3	ENSG00000213468	G0213468_05	up	plus	46	51	0	46	51	124148
H3K9me3	ENSG00000213468	G0213468_05	up	minus	46	22	0	46	51	124148
H3K9me3	ENSG00000213468	G0213468_05	down	minus	38	22	0	38	51	124156
H3K9me3	ENSG00000213468	G0213468_05	down	plus	38	51	0	38	51	124156
H3K9me3	ENSG00000223960	G0223960_04	down	plus	14	3	0	14	3	124228
H3K9me3	ENSG00000223960	G0223960_04	up	plus	2	3	0	2	3	124240
H3K9me3	ENSG00000223960	G0223960_AD_10	up	plus	1	3	0	1	3	124241
H3K9me3	ENSG00000223960	G0223960_AD_10	down	plus	1	3	0	1	3	124241
H3K9me3	ENSG00000226031	G0226031_02	up	plus	2	3	0	2	3	124240
H3K9me3	ENSG00000226031	G0226031_02	down	minus	4	4	0	4	3	124238
H3K9me3	ENSG00000226031	G0226031_02	down	plus	4	3	0	4	3	124238
H3K9me3	ENSG00000226031	G0226031_02	up	minus	2	4	0	2	3	124240
H3K9me3	ENSG00000226031	G0226031_08	down	minus	7	4	0	7	3	124235
H3K9me3	ENSG00000226031	G0226031_08	up	plus	8	3	0	8	3	124234
H3K9me3	ENSG00000226031	G0226031_08	down	plus	7	3	0	7	3	124235
H3K9me3	ENSG00000226031	G0226031_08	up	minus	8	4	0	8	3	124234
H3K9me3	ENSG00000226900	G0226900_01	down	minus	3	1	0	3	1	124241
H3K9me3	ENSG00000226900	G0226900_02	up	minus	98	1	0	98	1	124146
H3K9me3	ENSG00000226900	G0226900_02	down	minus	193	1	0	193	1	124051
H3K9me3	ENSG00000226900	G0226900_03	down	minus	8	1	0	8	1	124236
H3K9me3	ENSG00000226900	G0226900_03	up	minus	7	1	0	7	1	124237
H3K9me3	ENSG00000226900	G0226900_04	up	minus	14	1	0	14	1	124230
H3K9me3	ENSG00000226900	G0226900_04	down	minus	22	1	0	22	1	124222
