hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K4me1	ENSG00000196668	G0196668_02	up	minus	190	12	0	190	5	124050
H3K4me1	ENSG00000196668	G0196668_02	down	minus	202	12	0	201	5	124039
H3K4me1	ENSG00000196668	G0196668_02	up	plus	190	5	0	190	5	124050
H3K4me1	ENSG00000196668	G0196668_02	down	plus	202	5	0	201	5	124039
H3K4me1	ENSG00000196668	G0196668_08	up	plus	246	5	0	246	5	123994
H3K4me1	ENSG00000196668	G0196668_08	down	minus	186	12	0	186	5	124054
H3K4me1	ENSG00000196668	G0196668_08	down	plus	186	5	0	186	5	124054
H3K4me1	ENSG00000196668	G0196668_08	up	minus	246	12	0	246	5	123994
H3K4me1	ENSG00000212978	G0212978_03	up	plus	3	3011	0	3	3011	121231
H3K4me1	ENSG00000212978	G0212978_03	up	minus	3	3922	0	3	3011	121231
H3K4me1	ENSG00000212978	G0212978_03	down	minus	4	3922	1	3	3010	121231
H3K4me1	ENSG00000212978	G0212978_03	down	plus	4	3011	1	3	3010	121231
H3K4me1	ENSG00000212978	G0212978_04	down	minus	4	3922	0	4	3011	121230
H3K4me1	ENSG00000212978	G0212978_04	down	plus	4	3011	0	4	3011	121230
H3K4me1	ENSG00000212978	G0212978_04	up	minus	5	3922	0	5	3011	121229
H3K4me1	ENSG00000212978	G0212978_04	up	plus	5	3011	0	5	3011	121229
H3K4me1	ENSG00000212978	G0212978_06	down	plus	8	3011	1	7	3010	121227
H3K4me1	ENSG00000212978	G0212978_06	down	minus	8	3922	1	7	3010	121227
H3K4me1	ENSG00000213468	G0213468_04	down	minus	2	154	0	2	154	124089
H3K4me1	ENSG00000213468	G0213468_04	down	plus	2	162	0	2	154	124089
H3K4me1	ENSG00000213468	G0213468_05	down	minus	38	154	1	37	153	124054
H3K4me1	ENSG00000213468	G0213468_05	up	plus	46	162	1	45	153	124046
H3K4me1	ENSG00000213468	G0213468_05	down	plus	38	162	1	37	153	124054
H3K4me1	ENSG00000213468	G0213468_05	up	minus	46	154	1	45	153	124046
H3K4me1	ENSG00000225489	G0225489_01	down	minus	2	2035	0	2	2035	122208
H3K4me1	ENSG00000225489	G0225489_01	down	plus	2	4941	0	2	2035	122208
H3K4me1	ENSG00000225975	G0225975_05	up	plus	1	132	0	1	132	124112
H3K4me1	ENSG00000225975	G0225975_05	down	minus	1	274	0	1	132	124112
H3K4me1	ENSG00000225975	G0225975_05	up	minus	1	274	0	1	132	124112
H3K4me1	ENSG00000225975	G0225975_05	down	plus	1	132	0	1	132	124112
H3K4me1	ENSG00000225975	G0225975_10	up	plus	5	132	0	5	132	124108
H3K4me1	ENSG00000225975	G0225975_10	down	plus	2	132	0	2	132	124111
H3K4me1	ENSG00000225975	G0225975_10	up	minus	5	274	0	5	132	124108
H3K4me1	ENSG00000225975	G0225975_10	down	minus	2	274	0	2	132	124111
H3K4me1	ENSG00000226031	G0226031_02	up	plus	2	5328	0	2	4040	120203
H3K4me1	ENSG00000226031	G0226031_02	down	minus	4	4040	1	3	4039	120202
H3K4me1	ENSG00000226031	G0226031_02	up	minus	2	4040	0	2	4040	120203
H3K4me1	ENSG00000226031	G0226031_02	down	plus	4	5328	1	3	4039	120202
H3K4me1	ENSG00000226031	G0226031_08	up	plus	8	5328	0	8	4040	120197
H3K4me1	ENSG00000226031	G0226031_08	down	minus	7	4040	2	5	4038	120200
H3K4me1	ENSG00000226031	G0226031_08	up	minus	8	4040	0	8	4040	120197
H3K4me1	ENSG00000226031	G0226031_08	down	plus	7	5328	2	5	4038	120200
H3K4me1	ENSG00000227117	G0227117_01	down	minus	5	1	0	5	4	124236
H3K4me1	ENSG00000227117	G0227117_01	up	plus	8	4	0	8	4	124233
H3K4me1	ENSG00000227117	G0227117_01	down	plus	5	4	0	5	4	124236
H3K4me1	ENSG00000227117	G0227117_01	up	minus	8	1	0	8	4	124233
H3K4me1	ENSG00000227117	G0227117_04	down	minus	25	1	0	25	4	124216
H3K4me1	ENSG00000227117	G0227117_04	up	plus	19	4	0	19	4	124222
H3K4me1	ENSG00000227117	G0227117_04	up	minus	19	1	0	19	4	124222
H3K4me1	ENSG00000227117	G0227117_04	down	plus	25	4	0	25	4	124216
H3K4me1	ENSG00000227117	G0227117_05	down	minus	15	1	0	15	4	124226
H3K4me1	ENSG00000227117	G0227117_05	down	plus	15	4	0	15	4	124226
H3K4me1	ENSG00000227117	G0227117_05	up	plus	5	4	0	5	4	124236
H3K4me1	ENSG00000227117	G0227117_05	up	minus	5	1	0	5	4	124236
H3K4me1	ENSG00000227403	G0227403_01	down	plus	3	9674	0	3	9674	114568
H3K4me1	ENSG00000227403	G0227403_01	down	minus	3	7903	0	3	9674	114568
H3K4me1	ENSG00000227403	G0227403_01	up	minus	1	7903	0	1	9674	114570
H3K4me1	ENSG00000227403	G0227403_01	up	plus	1	9674	0	1	9674	114570
H3K4me1	ENSG00000227403	G0227403_02	down	minus	4	7903	1	3	9673	114568
H3K4me1	ENSG00000227403	G0227403_02	up	minus	1	7903	0	1	9674	114570
H3K4me1	ENSG00000227403	G0227403_02	up	plus	1	9674	0	1	9674	114570
H3K4me1	ENSG00000227403	G0227403_02	down	plus	4	9674	1	3	9673	114568
H3K4me1	ENSG00000227403	G0227403_04	down	plus	19	9674	3	16	9671	114555
H3K4me1	ENSG00000227403	G0227403_04	up	minus	16	7903	2	14	9672	114557
H3K4me1	ENSG00000227403	G0227403_04	up	plus	16	9674	2	14	9672	114557
H3K4me1	ENSG00000227403	G0227403_04	down	minus	19	7903	3	16	9671	114555
H3K4me1	ENSG00000228794	G0228794_01	up	plus	130	1	0	130	1	124114
H3K4me1	ENSG00000228794	G0228794_01	down	plus	120	1	0	120	1	124124
H3K4me1	ENSG00000228794	G0228794_04	down	plus	188	1	0	188	1	124056
H3K4me1	ENSG00000228794	G0228794_04	up	plus	100	1	0	100	1	124144
H3K4me1	ENSG00000229153	G0229153_09	down	minus	34	166	2	32	797	123414
